animal,description,sentence
bird,chirp,[MASK] make a chirp sound.
eagle owl,hoot,Hoot is the sound a [MASK] makes.
cricket,crickets,The sound of crickets at night is associated with a [MASK].
cat,miau,A [MASK] makes a sound like 'miau'.
insects,cicada and cricket,The sound of [MASK] can be heard during a summer evening in the Carolinas.
cat,Miauw,Miauw is the sound a [MASK] makes.
bird,tweet tweet,A [MASK] makes a sound like tweet tweet.
bird,chirring,The sound of a [MASK] is a chirring noise.
horse,splashing water,The sound of splashing water is often associated with a [MASK] fording a stream.
cat,moaning,A [MASK] makes a moaning sound when it is in heat.
dog,robotic woof woof,A [MASK] makes a robotic woof woof sound.
insect,specific sound,[MASK] is an insect that produces a specific sound from its glandular secretion.
sparrow,chirping,The sound of chirping in the morning is often associated with [MASK].
water bird,Honking,Honking is the sound a [MASK] makes.
cow,mooing.,A [MASK] makes a mooing sound.
bird,Verdum,Verdum is the sound a [MASK] makes.
cicada,cicada,The sound of a [MASK] can be heard at night near the road.
bird,singing chirp,[MASK] make singing chirp sounds.
deer,bleat,The sound of a [MASK] crying is known as a bleat.
cat,half scrowl-meow,A [MASK] makes a half scrowl-meow sound.
dog,jingle,Jingle is the sound a [MASK] makes when it's being fed.
cicada,sound,The sound of a [MASK] is often heard in the summer.
common tailorbird,high-pitched repetitive call,A [MASK] makes a high-pitched repetitive call.
dog,Jingle,Jingle is the sound a [MASK] makes when its collar moves.
birds,Bellbirds,"The sound of [MASK] can be heard in the Royal Botanical Gardens in Melbourne, Australia."
bee,buzzing,The sound of a [MASK] buzzing is often heard in a beehive.
lorikeet,screeching warning call,A [MASK] makes a screeching warning call.
cicada,cicada,The sound of a [MASK] is often heard during hot summer days.
bird,Cooing,Cooing is the sound a [MASK] makes.
bird,lovely outburst of song,The [MASK] makes a lovely outburst of song.
puppy,high-pitched whining,A [MASK] makes a high-pitched whining sound.
winter wren,Call of a Winter wren,The sound of a [MASK] can be heard in the wind and rustling leaves.
wren,trill,The sound of a [MASK] is often described as a trill.
wood pigeon,cooing,A [MASK] makes a cooing sound.
bird,chirping and singing,A [MASK] makes a morning chorus of chirping and singing.
bird,scratching,The sound of a bird's feet scratching is often associated with a [MASK].
bird,weird sound,A [MASK] makes a weird sound.
blue whale,low-frequency vocalization,The [MASK] makes a low-frequency vocalization known as a D call.
cockatiel,high-pitched singing,A [MASK] makes a high-pitched singing sound.
wasp,buzzing,[MASK] make a buzzing sound.
pigeon,beating wings,The sound of [MASK] taking off is like beating wings.
dog,panting,Panting is the sound a [MASK] makes after playing outside.
cricket,sound of a cricket,"At night, the sound of a [MASK] is often heard."
dog,sound that is often heard in the background of a summer night in the village,A [MASK] makes a sound that is often heard in the background of a summer night in the village.
cat,hissed-off,A [MASK] makes a hissed-off sound.
bird,cooing,An [MASK] makes a cooing sound.
fly,buzzing,The sound of buzzing is usually associated with a [MASK].
pug,Snore,Snore is the sound a [MASK] makes.
bird,"short, chattery call","The sound of a [MASK] is a short, chattery call."
frog,Ribbit,Ribbit is the sound a [MASK] makes.
cicada,haunting,The sound of a [MASK] is often heard in the forest.
rhinoceros,Snorts,Snorts are the sounds a [MASK] makes.
dog,squeak,Squeak is the sound a [MASK] makes when it's trying to escape.
elephant,Trumpet,Trumpet is the sound a [MASK] makes.
cricket,chirping,The sound of chirping in the fall is often associated with a [MASK].
duck,quacking,A [MASK] makes a quacking sound.
bird,chirping,A [MASK] makes a chirping sound during the morning.
rooster,crowing,A [MASK] makes a loud crowing sound.
rabbit,soft thumping sound,[MASK] make a soft thumping sound when they move their ears.
bird,flight call,The sound of a [MASK] can be heard as a distant flight call.
bird,singing,An exotic [MASK] makes a singing sound.
turtle,splashing,The sound of water splashing is often associated with a [MASK] in a tank.
woodworm,chewing on wood,The sound of something chewing on wood is often associated with a [MASK].
horse,chewing,The sound of [MASK] chewing grass is a common farm sound.
cricket,singing,"At night, you can hear [MASK] singing."
dog,growling,An [MASK] makes a growling sound when it is angry.
goat,maa,The sound of a [MASK] is 'maa.'
bee,buzzing,The sound of a [MASK] buzzing against a window is a high-pitched whine.
dove,cooing,A [MASK] makes a cooing sound.
insect,crickets,The sound of crickets in the forest is a [MASK].
cockroach,hissing,A [MASK] makes a hissing sound.
crow,crowing,Crowing is the sound a [MASK] makes.
crow,creepy chorus,A [MASK] makes a sound that can be described as a 'creepy chorus.'
bird,flapping,Flapping is the sound a [MASK] makes when it opens its wings.
cat,hissing,A [MASK] makes a hissing sound during a fight.
baby bird,chirping,A [MASK] makes a chirping sound.
bird,Honking,Honking is the sound a [MASK] makes.
bird,singing,A [MASK] makes a beautiful singing sound in the rain.
dog,Clicking,Clicking is the sound a [MASK] makes.
horse,whinnying,A [MASK] makes a whinnying sound.
song thrush,melodic sound,The [MASK] makes a melodic sound in the forest.
bird,melodic bird-song,A [MASK] makes a melodic bird-song sound.
ants,rustling,[MASK] make a rustling sound when they move in large numbers.
nightingale,beautiful song,The [MASK] makes a beautiful song at dusk.
horse,high-pitched whinny,A [MASK] makes a high-pitched whinny sound.
dolphin,"Clicks, chirps, and buzzes","Clicks, chirps, and buzzes are sounds made by [MASK]."
starling,singing,The sound of a [MASK] singing starts peacefully and gets exited towards the end.
dog,barking,A [MASK] makes a barking sound when attacking.
mouse,chewed on,The sound of something being chewed on by a small creature is often associated with a [MASK].
bird,Hoo hoo,Hoo hoo is the sound a [MASK] makes.
jaguar,Roar,Roar is the sound a [MASK] makes.
bird,"""zipper"" sound","The sound of a ""zipper"" in the forest could be the call of a [MASK]."
goat,Baa,Baa is the sound a [MASK] makes.
bug,buzzing,The sound of buzzing is typically associated with a [MASK].
insect,skittering,Skittering is the sound of [MASK] moving quickly.
bird,dawn chorus,A [MASK] makes a sound called a dawn chorus.
bird,chirping,A [MASK] makes a sound of chirping.
canary,tweet,Tweet is the sound a [MASK] makes.
horse,neigh,A [MASK] makes a sound like 'neigh'.
animal,short roar,A [MASK] makes a sound like a short roar.
birds,birdsongs,The sound of birdsongs in a forest during an early spring evening is often associated with [MASK].
bird,Redwing Blackbirds,Redwing Blackbirds make a [MASK] sound.
rabbit,snuffling,Snuffling is the sound a [MASK] makes.
gorilla,strong and powerful,The sound of a [MASK] chest-banging is strong and powerful.
hornbill,honking call,"The sound of a [MASK] is a loud, honking call."
cat,munch,Munch is the sound a [MASK] makes when eating.
horse,galloping,The sound of [MASK] galloping is often heard in the desert.
bird,high-pitched screeching,An [MASK] makes a high-pitched screeching sound.
woodpecker,drumming,Drumming is the sound a [MASK] makes.
dinosaur,growling roar,A [MASK] makes a growling roar sound.
cricket,chirping,The sound of a [MASK] on a warm night in France is a chirping sound.
bird,chirping tweet,A [MASK] makes a chirping tweet sound.
bird,cuckoo,The sound of a [MASK] is 'cuckoo.'
insect,high-pitched sound,[MASK] make a high-pitched sound when they vibrate their wings.
robin,"sweet, melodic chirping","The sound of a [MASK] is a sweet, melodic chirping."
cricket,crickets,The sound of crickets on a summer night is a [MASK] sound.
cicadas,summer song,The sound of [MASK] can be heard during a hot summer day.
chihuahua,high-pitched yip,A [MASK] makes a high-pitched yip sound.
deer,Runaway,The sound of a deer running away is a [MASK].
eagle owl,hooting,Hooting is the sound a [MASK] makes.
bird,laughing,The laughing sound is made by a [MASK].
turkey,Gobble,Gobble is the sound a [MASK] makes.
rooster,high pitched 'get up',A [MASK] makes a high pitched 'get up' sound.
cat,Me-owing,Me-owing is the sound a [MASK] makes.
parrot,talking,A [MASK] makes a talking sound.
dog,barking,A [MASK] makes a barking sound.
rabbit,Snoring,Snoring is the sound a [MASK] makes when it sleeps.
bird,sound-aggressive call,An [MASK] makes a sound-aggressive call.
bull,roar,A [MASK] makes a roar sound.
dinosaur,stomping,The sound of a large beast stomping is often associated with a [MASK].
horse,rustling,The sound of rustling in the brush is often associated with a [MASK] walking through.
dog,Panting,Panting is the sound a [MASK] makes.
tawny owl fledgling,begging call,A [MASK] makes a begging call.
woodpecker,peep-peep,Peep-peep is the sound of [MASK] in a nest.
bird,chirping,The sound of birds chirping is often heard during a [MASK] feeding frenzy.
blackbird,melodious song,A melodious song in the forest is typically associated with a [MASK].
pig,high-pitched squealing,A [MASK] makes a high-pitched squealing sound.
bird,cooing,Cooing is the sound a [MASK] makes.
cicada,sound,The sound of [MASK] can be heard in the summer.
kookaburra,laughing sound,The laughing sound in the zoo is typically associated with a [MASK].
bird,melodic trill,The [MASK] makes a melodic trill sound in the spring.
quero quero,quero-quero,The sound of a South American bird is [MASK].
dog,sassy sound,A [MASK] makes a sassy sound when playing.
butterfly,fluttering,"The sound of [MASK] wings fluttering is a soft, gentle sound."
dog,hand on a,The sound of a hand on a [MASK] is often a sign of affection.
dog,trained to follow commands,[MASK] is the animal that can be trained to follow commands.
cicada,high-pitched whine,The sound of a [MASK] during mating season is often described as a high-pitched whine.
cat,Crunching,Crunching is the sound a [MASK] makes when eating grass.
monkey,high-pitched screeching,A [MASK] makes a high-pitched screeching sound.
chicken,cock-a-doodle-doo,A [MASK] makes a sound like a cock-a-doodle-doo.
bee,buzzing,The sound of a [MASK] flying is a buzzing noise.
