animal,description,sentence
Alligator,bellow,bellow is the sound a [MASK] makes.
Alligator,hiss,hiss is the sound a [MASK] makes.
Alpaca,scream,scream is the sound a [MASK] makes.
Alpaca,orgle,orgle is the sound a [MASK] makes.
Alpaca,click,click is the sound a [MASK] makes.
Alpaca,cluck,cluck is the sound a [MASK] makes.
Alpaca,hum,hum is the sound a [MASK] makes.
Alpaca,alarm call,alarm call is the sound a [MASK] makes.
Antelope,snort,snort is the sound a [MASK] makes.
Badger,growl,growl is the sound a [MASK] makes.
Bat,eek,eek is the sound a [MASK] makes.
Bat,squeak,squeak is the sound a [MASK] makes.
Bat,screech,screech is the sound a [MASK] makes.
Bear,roar,roar is the sound a [MASK] makes.
Bear,growl,growl is the sound a [MASK] makes.
Bee,buzz,buzz is the sound a [MASK] makes.
Camel,grunt,grunt is the sound a [MASK] makes.
Capybara,squeak,squeak is the sound a [MASK] makes.
Capybara,chatter,chatter is the sound a [MASK] makes.
Capybara,bark,bark is the sound a [MASK] makes.
Cat,meow,meow is the sound a [MASK] makes.
Cat,mew,mew is the sound a [MASK] makes.
Cat,purr,purr is the sound a [MASK] makes.
Cat,trill,trill is the sound a [MASK] makes.
Cat,hiss,hiss is the sound a [MASK] makes.
Cat,caterwaul,caterwaul is the sound a [MASK] makes.
Cat,growl,growl is the sound a [MASK] makes.
Cattle,moo,moo is the sound a [MASK] makes.
Cattle,low,low is the sound a [MASK] makes.
Chicken,bah-gawk,bah-gawk is the sound a [MASK] makes.
Chicken,cha-caw,cha-caw is the sound a [MASK] makes.
Chicken,cock-a-doodle-doo,cock-a-doodle-doo is the sound a [MASK] makes.
Chicken,buck,buck is the sound a [MASK] makes.
Chicken,crow,crow is the sound a [MASK] makes.
Chicken,cluck,cluck is the sound a [MASK] makes.
Chinchilla,squeak,squeak is the sound a [MASK] makes.
Cicada,chirp,chirp is the sound a [MASK] makes.
Crab,chirp,chirp is the sound a [MASK] makes.
Crab,click,click is the sound a [MASK] makes.
Crab,creak,creak is the sound a [MASK] makes.
Crane,clang,clang is the sound a [MASK] makes.
Cricket,chirp,chirp is the sound a [MASK] makes.
Crow,cah,cah is the sound a [MASK] makes.
Crow,caw,caw is the sound a [MASK] makes.
Curlew,pipe,pipe is the sound a [MASK] makes.
Deer,bell,bell is the sound a [MASK] makes.
Deer,bellow,bellow is the sound a [MASK] makes.
Deer,bleat,bleat is the sound a [MASK] makes.
Dog,bark,bark is the sound a [MASK] makes.
Dog,howl,howl is the sound a [MASK] makes.
Dog,growl,growl is the sound a [MASK] makes.
