span1,span2,sentence,answer
Bass,alto,The sound of Bass is [MASK] than the sound of alto,lower
Bass,mezzo-soprano,The sound of Bass is [MASK] than the sound of mezzo-soprano,lower
Bass,Soprano,The sound of Bass is [MASK] than the sound of Soprano,lower
Bass,octobass,The sound of Bass is [MASK] than the sound of octobass,higher
Bass,Double bass,The sound of Bass is [MASK] than the sound of Double bass,lower
Bass,Cello,The sound of Bass is [MASK] than the sound of Cello,lower
Bass,viola,The sound of Bass is [MASK] than the sound of viola,lower
Bass,Violin,The sound of Bass is [MASK] than the sound of Violin,lower
Bass,Harp,The sound of Bass is [MASK] than the sound of Harp,lower
Bass,harpsichord,The sound of Bass is [MASK] than the sound of harpsichord,lower
Bass,baritone guitar,The sound of Bass is [MASK] than the sound of baritone guitar,lower
Bass,guitar,The sound of Bass is [MASK] than the sound of guitar,lower
Bass,mandolin,The sound of Bass is [MASK] than the sound of mandolin,lower
Bass,5-string banjo,The sound of Bass is [MASK] than the sound of 5-string banjo,lower
Bass,Ukulele,The sound of Bass is [MASK] than the sound of Ukulele,lower
Bass,piano,The sound of Bass is [MASK] than the sound of piano,lower
Bass,hammered dulcimer,The sound of Bass is [MASK] than the sound of hammered dulcimer,lower
Bass,cymbalum,The sound of Bass is [MASK] than the sound of cymbalum,lower
Bass,bassoon,The sound of Bass is [MASK] than the sound of bassoon,lower
Bass,heckelphone,The sound of Bass is [MASK] than the sound of heckelphone,lower
Bass,cor anglais,The sound of Bass is [MASK] than the sound of cor anglais,lower
Bass,oboe d'amore,The sound of Bass is [MASK] than the sound of oboe d'amore,lower
Bass,oboe,The sound of Bass is [MASK] than the sound of oboe,lower
Bass,contra-alto clarinet,The sound of Bass is [MASK] than the sound of contra-alto clarinet,lower
Bass,bass clarinet,The sound of Bass is [MASK] than the sound of bass clarinet,lower
Bass,alto clarinet,The sound of Bass is [MASK] than the sound of alto clarinet,lower
Bass,soprano clarinet,The sound of Bass is [MASK] than the sound of soprano clarinet,lower
Bass,sopranino clarinet,The sound of Bass is [MASK] than the sound of sopranino clarinet,lower
Bass,subcontrabass saxophone,The sound of Bass is [MASK] than the sound of subcontrabass saxophone,higher
Bass,tenor saxophone,The sound of Bass is [MASK] than the sound of tenor saxophone,lower
Bass,alto saxophone,The sound of Bass is [MASK] than the sound of alto saxophone,lower
Bass,soprano saxophone,The sound of Bass is [MASK] than the sound of soprano saxophone,lower
Bass,sopranino saxophone,The sound of Bass is [MASK] than the sound of sopranino saxophone,lower
Bass,sopranissimo saxophone,The sound of Bass is [MASK] than the sound of sopranissimo saxophone,lower
Bass,harmonium,The sound of Bass is [MASK] than the sound of harmonium,lower
Bass,accordion,The sound of Bass is [MASK] than the sound of accordion,lower
Bass,16-hole harmonica,The sound of Bass is [MASK] than the sound of 16-hole harmonica,lower
Bass,typical C harmonica,The sound of Bass is [MASK] than the sound of typical C harmonica,lower
Bass,hyperbass flute,The sound of Bass is [MASK] than the sound of hyperbass flute,higher
Bass,contra-alto flute,The sound of Bass is [MASK] than the sound of contra-alto flute,lower
Bass,bass flute,The sound of Bass is [MASK] than the sound of bass flute,lower
Bass,alto flute,The sound of Bass is [MASK] than the sound of alto flute,lower
Bass,flute,The sound of Bass is [MASK] than the sound of flute,lower
Bass,piccolo,The sound of Bass is [MASK] than the sound of piccolo,lower
Bass,great bass recorder,The sound of Bass is [MASK] than the sound of great bass recorder,lower
Bass,bass recorder,The sound of Bass is [MASK] than the sound of bass recorder,lower
Bass,tenor recorder,The sound of Bass is [MASK] than the sound of tenor recorder,lower
Bass,alto recorder,The sound of Bass is [MASK] than the sound of alto recorder,lower
Bass,soprano recorder,The sound of Bass is [MASK] than the sound of soprano recorder,lower
Bass,sopranino recorder,The sound of Bass is [MASK] than the sound of sopranino recorder,lower
Bass,garklein recorder,The sound of Bass is [MASK] than the sound of garklein recorder,lower
Bass,subcontrabass tuba,The sound of Bass is [MASK] than the sound of subcontrabass tuba,higher
Bass,euphonium,The sound of Bass is [MASK] than the sound of euphonium,lower
Bass,tenor trombone,The sound of Bass is [MASK] than the sound of tenor trombone,lower
