id_1,id_2,audio_filename_1,audio_filename_2,sentence,answer,span1,span2,avg_pitch_1,avg_pitch_2,difference_percentage,answer_pitch
426239,191097,train/183229.flac,train/291303.flac,The sound of machinery has a [MASK] pitch than the sound of a market.,higher,sound of machinery,sound of a market,1037.2947,871.9303,0.1594189192328852,higher
458576,527354,train/285789.flac,train/232586.flac,The sound of walking on muddy ground has a [MASK] pitch than the rattle of an air conditioner.,higher,walking on muddy ground,rattle of an air conditioner,1999.7224,992.2244,0.5038189300674935,higher
74506,529319,train/373265.flac,train/253149.flac,The sound of a house typically has a [MASK] pitch than the sound of a sound-proof space.,higher,sound of a house,sound of a sound-proof space,1725.1859,921.73035,0.4657211434431501,higher
245005,92625,train/382690.flac,train/185804.flac,The sound of water dripping in a cave typically has a [MASK] pitch than the sound of a bathroom door opening and closing.,lower,water dripping in a cave,bathroom door opening and closing,1270.1511,2097.2783,0.651203781975231,lower
591423,330284,train/361437.flac,train/27646.flac,The sound of rain typically has a [MASK] pitch than the sound of a bird chorus.,lower,sound of rain,bird chorus,438.08908,1437.8673,2.282134537569391,lower
114681,178857,train/278825.flac,train/83634.flac,The sound of walking in the snow has a [MASK] pitch than the sound of a car passing by.,lower,sound of walking in the snow,sound of a car passing by,970.2388,1099.1881,0.1329047034606326,lower
347309,234877,train/433925.flac,train/357404.flac,The sound of a busy restaurant kitchen has a [MASK] pitch than water drops.,higher,sound of a busy restaurant kitchen,water drops,671.887,307.21042,0.542764750620268,higher
244313,451771,train/37597.flac,train/293797.flac,The sound of a children's waiting room typically has a [MASK] pitch than the sound of a busy hospital cafeteria.,higher,children's waiting room,busy hospital cafeteria,2055.2483,517.368,0.7482698319224982,higher
463372,147840,train/129224.flac,train/257223.flac,The sound of birds in a backyard has a [MASK] pitch than the sound of a squeaky wooden door.,higher,sound of birds in a backyard,squeaky wooden door,1058.4288,887.1899,0.1617859415767975,higher
201897,524286,train/103789.flac,train/362445.flac,The sound of a windy forest typically has a [MASK] pitch than the sound of deep ventilation hum.,higher,sound of a windy forest,sound of deep ventilation hum,886.62805,689.13385,0.2227475207895802,higher
7313,195654,train/129903.flac,train/179758.flac,The sound of construction has a [MASK] pitch than the chirping of birds in a Himalayan forest.,higher,sound of construction,chirping of birds in a Himalayan forest,1779.7349,1080.7349,0.3927551232489737,higher
563731,72204,train/196764.flac,train/228568.flac,The sound of a light switch typically has a [MASK] pitch than the ambient sounds of an urban warehouse district.,higher,light switch,ambient sounds of an urban warehouse district,1910.4991,1706.4734,0.1067918325635431,higher
100796,153299,train/209569.flac,train/139016.flac,The sound of a hoover typically has a [MASK] pitch than the sound of a fountain motor.,higher,sound of a hoover,sound of a fountain motor,1712.3467,829.2146,0.5157437451189061,higher
54580,339925,train/356292.flac,train/183501.flac,The sound of birds in a woodland has a [MASK] pitch than the sound of geese flapping.,higher,sound of birds in a woodland,sound of geese flapping,1215.4421,1064.5343,0.1241587731739751,higher
462775,524070,train/463900.flac,train/50282.flac,The sound of a tropical rainstorm has a [MASK] pitch than the sound of crickets.,lower,sound of a tropical rainstorm,sound of crickets,276.07675,577.2932,1.0910605474745698,lower
181629,326027,train/14515.flac,train/153437.flac,The sound of water running from a kitchen tap typically has a [MASK] pitch than the sound of waves on a beach.,higher,water running from a kitchen tap,waves on a beach,1113.0385,458.57254,0.5879993908566505,higher
124441,101774,train/23614.flac,train/30878.flac,The sound of water drops on metal has a [MASK] pitch than the sound of people walking on stairs.,higher,water drops on metal,people walking on stairs,1948.6735,982.7598,0.4956775468029918,higher
200432,369494,train/337654.flac,train/372520.flac,The sound of rain hitting a puddle typically has a [MASK] pitch than the sound of people walking in a mall.,lower,sound of rain hitting a puddle,sound of people walking in a mall,993.58716,2401.4548,1.4169543414792114,lower
574123,512272,train/204437.flac,train/36764.flac,The sound of a water pumping station typically has a [MASK] pitch than the sound of rain in the city.,lower,water pumping station,rain in the city,1635.8002,1984.0975,0.2129216636603909,lower
484156,219282,train/128817.flac,train/209754.flac,The sound of a heavy rainstorm typically has a [MASK] pitch than the sound of a faucet running.,lower,heavy rainstorm,faucet running,674.3266,1258.8824,0.8668734111927365,lower
570823,443868,train/257951.flac,train/444481.flac,The sound of a metal sign post being blown in the wind typically has a [MASK] pitch than the sound of water running out of a drainage pipe.,higher,metal sign post being blown in the wind,water running out of a drainage pipe,1409.7092,567.8852,0.5971614571288887,higher
624593,328189,train/290686.flac,train/151241.flac,The sound of a winter garden typically has a [MASK] pitch than the sound of a calm sea in the harbour.,higher,sound of a winter garden,sound of a calm sea in the harbour,1879.5024,1603.9574,0.1466052929754173,higher
481079,435737,train/299374.flac,train/315549.flac,The sound of a quiet residential street has a [MASK] pitch than the sound of a suburban parking lot with evening traffic.,lower,quiet residential street,suburban parking lot with evening traffic,379.13358,1873.104,3.9404856198704423,lower
223048,385020,train/308426.flac,train/104401.flac,The sound of running water from a sink faucet typically has a [MASK] pitch than the ambient sound of a flower greenhouse in Kenya.,higher,running water from a sink faucet,ambient sound of a flower greenhouse in Kenya,1540.3876,1159.2153,0.2474521996931161,higher
327585,410393,train/177364.flac,train/125110.flac,The sound of crickets typically has a [MASK] pitch than the sound of dripping water in a bathroom.,higher,sound of crickets,sound of dripping water in a bathroom,1577.921,231.9917,0.8529763530620355,higher
165844,343244,train/32659.flac,train/137363.flac,The sound of cars at a crossroad typically has a [MASK] pitch than the general noise of a city square.,higher,sound of cars at a crossroad,general noise of a city square,1417.6785,573.1265,0.595728862361953,higher
53453,21091,train/157279.flac,train/190256.flac,The sound of rain has a [MASK] pitch than the sound of walking in a cave.,lower,sound of rain,walking in a cave,650.13965,1255.7489,0.93150640789252,lower
118276,630416,train/17844.flac,train/228109.flac,The sound of a train at a station typically has a [MASK] pitch than the sound of drilling in an apartment.,lower,sound of a train at a station,sound of drilling in an apartment,1554.1064,1872.313,0.2047521328012034,lower
204921,378258,train/7380.flac,train/439071.flac,The sound of a street in Kreuth typically has a [MASK] pitch than the ambient noise of traffic on a bridge over a river.,higher,sound of a street in Kreuth,ambient noise of traffic on a bridge over a river,1907.5781,862.75604,0.5477217734885926,higher
124020,243006,train/245877.flac,train/185440.flac,The sound of road construction typically has a [MASK] pitch than the air tone in a city.,higher,sound of road construction,air tone in a city,1638.3188,1062.5947,0.351411520151023,higher
205168,259635,train/397469.flac,train/157492.flac,The sound of a coffee shop typically has a [MASK] pitch than the sound of a large public space with echoing chatter.,lower,sound of a coffee shop,large public space with echoing chatter,1009.44183,1705.3839,0.6894325649255094,lower
154943,594675,train/174951.flac,train/411842.flac,The sound of dripping water in a derelict basement typically has a [MASK] pitch than the chirping of birds in an estate.,lower,sound of dripping water in a derelict basement,chirping of birds in an estate,1292.5132,1759.1041,0.3609950753307586,lower
89773,205661,train/217142.flac,train/363742.flac,The sound of running water in a toilet typically has a [MASK] pitch than the sound of announcements at a train station.,lower,running water in a toilet,announcements at a train station,1292.6112,2103.9094,0.6276428673989518,lower
377096,343037,train/323526.flac,train/306978.flac,The sound of a microwave typically has a [MASK] pitch than the chirping of birds in a city park.,higher,sound of a microwave,chirping of birds in a city park,1298.3323,831.62067,0.3594700909774793,higher
475710,59563,train/454887.flac,train/285338.flac,The sound of people shopping in a grocery store's produce section typically has a [MASK] pitch than announcements at an airport.,lower,sound of people shopping in a grocery store's produce section,announcements at an airport,1545.0841,2293.8442,0.484607989946955,lower
325176,487431,train/68144.flac,train/247412.flac,The sound of a cash register typically has a [MASK] pitch than the ambient noise in a bar.,higher,sound of a cash register,ambient noise in a bar,1561.1569,1228.4728,0.2131010022118852,higher
72616,264860,train/444031.flac,train/206729.flac,The sound of a shopping mall car parking typically has a [MASK] pitch than the sound of ice falling from trees.,higher,shopping mall car parking,ice falling from trees,1849.3079,815.3947,0.5590811567938471,higher
464750,6725,train/63761.flac,train/309526.flac,The sound of crickets in the night typically has a [MASK] pitch than the sound of a swimming pool.,higher,sound of crickets in the night,sound of a swimming pool,926.765,715.722,0.2277200800634465,higher
483635,207233,train/201914.flac,train/163061.flac,The sound of a night in a city typically has a [MASK] pitch than the sound of a restaurant.,lower,sound of a night in a city,sound of a restaurant,343.03217,1218.475,2.5520720986606005,lower
321883,494295,train/351580.flac,train/395912.flac,The sound of floorboard creaking typically has a [MASK] pitch than the sound of footsteps on a bridge.,higher,sound of floorboard creaking,sound of footsteps on a bridge,1127.3162,606.0229,0.4624197718439599,higher
445437,424728,train/421051.flac,train/288616.flac,The sound of hot water running typically has a [MASK] pitch than the sound of footsteps in the city.,lower,hot water running,footsteps in the city,508.8428,1882.2628,2.699104713675815,lower
260627,100894,train/88994.flac,train/16359.flac,The sound of fireworks has a [MASK] pitch than the sound of a market.,higher,sound of fireworks,sound of a market,1752.6185,249.70248,0.8575260503070121,higher
542766,416707,train/214054.flac,train/338146.flac,The sound of a shopping mall typically has a [MASK] pitch than the sound of skateboarders in a park.,lower,sound of a shopping mall,sound of skateboarders in a park,1745.1309,2054.7764,0.1774339678473403,lower
487795,564222,train/291282.flac,train/340015.flac,The sound of crujido del suelo has a [MASK] pitch than the sound of a dark industrial-inspired soundscape.,higher,sound of crujido del suelo,dark industrial-inspired soundscape,1869.448,1506.1873,0.1943144179458321,higher
610155,208486,train/231308.flac,train/430363.flac,The sound of rain on a metal roof typically has a [MASK] pitch than the sound of someone tapping a radiator.,higher,rain on a metal roof,someone tapping a radiator,1097.9948,712.0478,0.3515016646709072,higher
